hybrid_run_id,policy_version,experiment_id,dataset,anomaly_type,anomaly_rate,method,records,true_anomalies,predicted_anomalies,tp,tn,fp,fn,precision,recall,f1,false_positive_rate,false_negative_rate,specificity,accuracy,balanced_accuracy,pr_auc
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r01_s2042,retail,A1,0.01,ISOLATION_FOREST,6000,60,368,4,5576,364,56,0.010869565217391304,0.06666666666666667,0.018691588785046728,0.06127946127946128,0.9333333333333333,0.9387205387205387,0.93,0.5026936026936027,0.012888907274228081
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r01_s2042,retail,A1,0.01,LOCAL_OUTLIER_FACTOR,6000,60,773,11,5178,762,49,0.014230271668822769,0.18333333333333332,0.026410564225690276,0.12828282828282828,0.8166666666666667,0.8717171717171717,0.8648333333333333,0.5275252525252525,0.016230653021454176
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r01_s2042,retail,A1,0.01,AI_CONSENSUS,6000,60,1033,13,4920,1020,47,0.012584704743465635,0.21666666666666667,0.023787740164684355,0.1717171717171717,0.7833333333333333,0.8282828282828283,0.8221666666666667,0.5224747474747475,0.014644611643820492
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r01_s2042,retail,A1,0.01,HYBRID_V1,6000,60,1548,18,4410,1530,42,0.011627906976744186,0.3,0.022388059701492536,0.25757575757575757,0.7,0.7424242424242424,0.738,0.5212121212121212,0.01302114325912633
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r05_s2043,retail,A1,0.05,RULE_ONLY,6000,300,405,17,5312,388,283,0.04197530864197531,0.056666666666666664,0.04822695035460993,0.06807017543859649,0.9433333333333334,0.9319298245614035,0.8881666666666667,0.49429824561403507,0.049545267489711935
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r05_s2043,retail,A1,0.05,ISOLATION_FOREST,6000,300,384,20,5336,364,280,0.052083333333333336,0.06666666666666667,0.05847953216374269,0.06385964912280702,0.9333333333333333,0.9361403508771929,0.8926666666666667,0.5014035087719299,0.05202588271789242
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r05_s2043,retail,A1,0.05,LOCAL_OUTLIER_FACTOR,6000,300,801,42,4941,759,258,0.052434456928838954,0.14,0.07629427792915532,0.13315789473684211,0.86,0.8668421052631579,0.8305,0.503421052631579,0.051251487656747245
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r05_s2043,retail,A1,0.05,AI_CONSENSUS,6000,300,1061,56,4695,1005,244,0.0527803958529689,0.18666666666666668,0.08229243203526819,0.1763157894736842,0.8133333333333334,0.8236842105263158,0.7918333333333333,0.5051754385964913,0.05241672415763843
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r05_s2043,retail,A1,0.05,HYBRID_V1,6000,300,1564,73,4209,1491,227,0.046675191815856776,0.24333333333333335,0.07832618025751073,0.2615789473684211,0.7566666666666667,0.738421052631579,0.7136666666666667,0.49087719298245613,0.05132387302250754
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r10_s2044,retail,A1,0.1,RULE_ONLY,6000,600,419,43,5024,376,557,0.1026252983293556,0.07166666666666667,0.08439646712463199,0.06962962962962962,0.9283333333333333,0.9303703703703704,0.8445,0.5010185185185185,0.10018814638027049
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r10_s2044,retail,A1,0.1,ISOLATION_FOREST,6000,600,344,34,5090,310,566,0.09883720930232558,0.056666666666666664,0.07203389830508475,0.05740740740740741,0.9433333333333334,0.9425925925925925,0.854,0.4996296296296296,0.09676107149857101
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r10_s2044,retail,A1,0.1,LOCAL_OUTLIER_FACTOR,6000,600,793,83,4690,710,517,0.10466582597730138,0.13833333333333334,0.1191672648959081,0.13148148148148148,0.8616666666666667,0.8685185185185185,0.7955,0.5034259259259259,0.10248308725438691
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r10_s2044,retail,A1,0.1,AI_CONSENSUS,6000,600,1019,109,4490,910,491,0.1069676153091266,0.18166666666666667,0.13465101914762198,0.1685185185185185,0.8183333333333334,0.8314814814814815,0.7665,0.5065740740740741,0.09971221311271325
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A1_r10_s2044,retail,A1,0.1,HYBRID_V1,6000,600,1549,160,4011,1389,440,0.10329244673983215,0.26666666666666666,0.14890646812470917,0.25722222222222224,0.7333333333333333,0.7427777777777778,0.6951666666666667,0.5047222222222222,0.1009441881305935
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r01_s2142,retail,A2,0.01,RULE_ONLY,6000,59,398,0,5543,398,59,0.0,0.0,0.0,0.06699208887392695,1.0,0.9330079111260731,0.9238333333333333,0.46650395556303653,0.009833333333333333
