records,true_anomalies,predicted_anomalies,tp,tn,fp,fn,precision,recall,f1,false_positive_rate,false_negative_rate,specificity,balanced_accuracy,experiment_id,dataset,outer_fold,method,true_positive,false_positive,false_negative,true_negative,anomaly_type,anomaly_rate
10000.0,1000.0,891.0,157.0,8266.0,734.0,843.0,0.17620650953984288,0.157,0.16604970914859862,0.08155555555555556,0.843,0.9184444444444444,0.5377222222222222,finance_A7_r10_s644,finance,1.0,AI_CONSENSUS,,,,,,
10000.0,1000.0,1347.0,184.0,7837.0,1163.0,816.0,0.13659985152190052,0.184,0.15679590967192159,0.1292222222222222,0.816,0.8707777777777778,0.5273888888888889,finance_A7_r10_s644,finance,1.0,HYBRID_V1,,,,,,
10000.0,1000.0,596.0,107.0,8511.0,489.0,893.0,0.17953020134228187,0.107,0.13408521303258145,0.05433333333333333,0.893,0.9456666666666667,0.5263333333333333,finance_A7_r10_s644,finance,1.0,HYBRID_V3_NESTED,,,,,,
10000.0,1000.0,860.0,92.0,8232.0,768.0,908.0,0.10697674418604651,0.092,0.0989247311827957,0.08533333333333333,0.908,0.9146666666666666,0.5033333333333333,finance_A7_r10_s644,finance,1.0,RULE_ONLY,,,,,,
10000.0,100.0,15.0,0.0,9885.0,15.0,100.0,0.0,0.0,0.0,0.0015151515151515152,1.0,0.9984848484848485,0.49924242424242427,healthcare_A1_r01_s1042,healthcare,3.0,AI_CONSENSUS,,,,,,
10000.0,100.0,282.0,100.0,9718.0,182.0,0.0,0.3546099290780142,1.0,0.5235602094240838,0.018383838383838384,0.0,0.9816161616161616,0.9908080808080808,healthcare_A1_r01_s1042,healthcare,3.0,HYBRID_V1,,,,,,
10000.0,100.0,195.0,13.0,9718.0,182.0,87.0,0.06666666666666667,0.13,0.08813559322033898,0.018383838383838384,0.87,0.9816161616161616,0.5558080808080808,healthcare_A1_r01_s1042,healthcare,3.0,HYBRID_V3_NESTED,,,,,,
10000.0,100.0,100.0,100.0,9900.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,healthcare_A1_r01_s1042,healthcare,3.0,RULE_ONLY,,,,,,
10000.0,500.0,8.0,2.0,9494.0,6.0,498.0,0.25,0.004,0.007874015748031496,0.0006315789473684211,0.996,0.9993684210526316,0.5016842105263157,healthcare_A1_r05_s1043,healthcare,2.0,AI_CONSENSUS,,,,,,
10000.0,500.0,674.0,500.0,9326.0,174.0,0.0,0.7418397626112759,1.0,0.8517887563884156,0.01831578947368421,0.0,0.9816842105263158,0.990842105263158,healthcare_A1_r05_s1043,healthcare,2.0,HYBRID_V1,,,,,,
10000.0,500.0,286.0,112.0,9326.0,174.0,388.0,0.3916083916083916,0.224,0.28498727735368956,0.01831578947368421,0.776,0.9816842105263158,0.602842105263158,healthcare_A1_r05_s1043,healthcare,2.0,HYBRID_V3_NESTED,,,,,,
10000.0,500.0,500.0,500.0,9500.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,healthcare_A1_r05_s1043,healthcare,2.0,RULE_ONLY,,,,,,
10000.0,1000.0,9.0,1.0,8992.0,8.0,999.0,0.1111111111111111,0.001,0.0019821605550049554,0.0008888888888888889,0.999,0.9991111111111111,0.5000555555555555,healthcare_A1_r10_s1044,healthcare,2.0,AI_CONSENSUS,,,,,,
10000.0,1000.0,1165.0,1000.0,8835.0,165.0,0.0,0.8583690987124464,1.0,0.9237875288683602,0.018333333333333333,0.0,0.9816666666666667,0.9908333333333333,healthcare_A1_r10_s1044,healthcare,2.0,HYBRID_V1,,,,,,
10000.0,1000.0,369.0,204.0,8835.0,165.0,796.0,0.5528455284552846,0.204,0.29802775748721694,0.018333333333333333,0.796,0.9816666666666667,0.5928333333333333,healthcare_A1_r10_s1044,healthcare,2.0,HYBRID_V3_NESTED,,,,,,
10000.0,1000.0,1000.0,1000.0,9000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,healthcare_A1_r10_s1044,healthcare,2.0,RULE_ONLY,,,,,,
10000.0,100.0,11.0,0.0,9889.0,11.0,100.0,0.0,0.0,0.0,0.0011111111111111111,1.0,0.9988888888888889,0.49944444444444447,healthcare_A2_r01_s1142,healthcare,1.0,AI_CONSENSUS,,,,,,
10000.0,100.0,362.0,100.0,9638.0,262.0,0.0,0.27624309392265195,1.0,0.43290043290043295,0.026464646464646465,0.0,0.9735353535353536,0.9867676767676767,healthcare_A2_r01_s1142,healthcare,1.0,HYBRID_V1,,,,,,
10000.0,100.0,187.0,6.0,9719.0,181.0,94.0,0.03208556149732621,0.06,0.041811846689895474,0.018282828282828283,0.94,0.9817171717171718,0.5208585858585859,healthcare_A2_r01_s1142,healthcare,1.0,HYBRID_V3_NESTED,,,,,,
